file,line,type,commit,author,date,time,timezone,datetime,depth,length
style.css,1,css,a166c07c,Philip Chen,2026-04-07,15:37:24,-07:00,2026-04-07T15:37:24-07:00,0,5
style.css,2,css,a166c07c,Philip Chen,2026-04-07,15:37:24,-07:00,2026-04-07T15:37:24-07:00,1,31
style.css,3,css,a166c07c,Philip Chen,2026-04-07,15:37:24,-07:00,2026-04-07T15:37:24-07:00,0,0
style.css,4,css,a166c07c,Philip Chen,2026-04-07,15:37:24,-07:00,2026-04-07T15:37:24-07:00,0,0
style.css,5,css,e55c91d5,Philip Chen,2026-04-16,17:08:10,-07:00,2026-04-16T17:08:10-07:00,0,4
style.css,6,css,e55c91d5,Philip Chen,2026-04-16,17:08:10,-07:00,2026-04-16T17:08:10-07:00,1,23
style.css,7,css,e55c91d5,Philip Chen,2026-04-16,17:08:10,-07:00,2026-04-16T17:08:10-07:00,0,0
style.css,8,css,e55c91d5,Philip Chen,2026-04-16,17:08:10,-07:00,2026-04-16T17:08:10-07:00,0,0
style.css,9,css,4637c03c,Philip Chen,2026-04-02,16:26:15,-07:00,2026-04-02T16:26:15-07:00,0,4
style.css,10,css,4637c03c,Philip Chen,2026-04-02,16:26:15,-07:00,2026-04-02T16:26:15-07:00,1,23
style.css,11,css,a166c07c,Philip Chen,2026-04-07,15:37:24,-07:00,2026-04-07T15:37:24-07:00,1,15
style.css,12,css,a166c07c,Philip Chen,2026-04-07,15:37:24,-07:00,2026-04-07T15:37:24-07:00,1,18
style.css,13,css,a166c07c,Philip Chen,2026-04-07,15:37:24,-07:00,2026-04-07T15:37:24-07:00,1,11
style.css,14,css,a166c07c,Philip Chen,2026-04-07,15:37:24,-07:00,2026-04-07T15:37:24-07:00,0,0
style.css,15,css,a166c07c,Philip Chen,2026-04-07,15:37:24,-07:00,2026-04-07T15:37:24-07:00,0,0
style.css,16,css,a166c07c,Philip Chen,2026-04-07,15:37:24,-07:00,2026-04-07T15:37:24-07:00,0,3
style.css,17,css,e55c91d5,Philip Chen,2026-04-16,17:08:10,-07:00,2026-04-16T17:08:10-07:00,1,39
style.css,18,css,a166c07c,Philip Chen,2026-04-07,15:37:24,-07:00,2026-04-07T15:37:24-07:00,1,12
style.css,19,css,a166c07c,Philip Chen,2026-04-07,15:37:24,-07:00,2026-04-07T15:37:24-07:00,1,17
style.css,20,css,e55c91d5,Philip Chen,2026-04-16,17:08:10,-07:00,2026-04-16T17:08:10-07:00,1,43
style.css,21,css,a166c07c,Philip Chen,2026-04-07,15:37:24,-07:00,2026-04-07T15:37:24-07:00,0,0
style.css,22,css,a166c07c,Philip Chen,2026-04-07,15:37:24,-07:00,2026-04-07T15:37:24-07:00,0,0
style.css,23,css,a166c07c,Philip Chen,2026-04-07,15:37:24,-07:00,2026-04-07T15:37:24-07:00,0,5
style.css,24,css,a166c07c,Philip Chen,2026-04-07,15:37:24,-07:00,2026-04-07T15:37:24-07:00,1,6
style.css,25,css,a166c07c,Philip Chen,2026-04-07,15:37:24,-07:00,2026-04-07T15:37:24-07:00,1,20
style.css,26,css,a166c07c,Philip Chen,2026-04-07,15:37:24,-07:00,2026-04-07T15:37:24-07:00,1,13
style.css,27,css,a166c07c,Philip Chen,2026-04-07,15:37:24,-07:00,2026-04-07T15:37:24-07:00,1,17
style.css,28,css,a166c07c,Philip Chen,2026-04-07,15:37:24,-07:00,2026-04-07T15:37:24-07:00,1,13
style.css,29,css,a166c07c,Philip Chen,2026-04-07,15:37:24,-07:00,2026-04-07T15:37:24-07:00,0,0
style.css,30,css,a166c07c,Philip Chen,2026-04-07,15:37:24,-07:00,2026-04-07T15:37:24-07:00,0,0
style.css,31,css,a166c07c,Philip Chen,2026-04-07,15:37:24,-07:00,2026-04-07T15:37:24-07:00,0,11
style.css,32,css,a166c07c,Philip Chen,2026-04-07,15:37:24,-07:00,2026-04-07T15:37:24-07:00,1,45
style.css,33,css,a166c07c,Philip Chen,2026-04-07,15:37:24,-07:00,2026-04-07T15:37:24-07:00,1,34
style.css,34,css,e55c91d5,Philip Chen,2026-04-16,17:08:10,-07:00,2026-04-16T17:08:10-07:00,1,69
style.css,35,css,a166c07c,Philip Chen,2026-04-07,15:37:24,-07:00,2026-04-07T15:37:24-07:00,0,0
style.css,36,css,a166c07c,Philip Chen,2026-04-07,15:37:24,-07:00,2026-04-07T15:37:24-07:00,0,0
style.css,37,css,a166c07c,Philip Chen,2026-04-07,15:37:24,-07:00,2026-04-07T15:37:24-07:00,0,13
style.css,38,css,a166c07c,Philip Chen,2026-04-07,15:37:24,-07:00,2026-04-07T15:37:24-07:00,1,45
style.css,39,css,a166c07c,Philip Chen,2026-04-07,15:37:24,-07:00,2026-04-07T15:37:24-07:00,1,34
style.css,40,css,a166c07c,Philip Chen,2026-04-07,15:37:24,-07:00,2026-04-07T15:37:24-07:00,0,0
style.css,41,css,a166c07c,Philip Chen,2026-04-07,15:37:24,-07:00,2026-04-07T15:37:24-07:00,0,0
style.css,42,css,a166c07c,Philip Chen,2026-04-07,15:37:24,-07:00,2026-04-07T15:37:24-07:00,0,4
style.css,43,css,a166c07c,Philip Chen,2026-04-07,15:37:24,-07:00,2026-04-07T15:37:24-07:00,0,7
style.css,44,css,e55c91d5,Philip Chen,2026-04-16,17:08:10,-07:00,2026-04-16T17:08:10-07:00,0,5
style.css,45,css,e55c91d5,Philip Chen,2026-04-16,17:08:10,-07:00,2026-04-16T17:08:10-07:00,0,6
style.css,46,css,a166c07c,Philip Chen,2026-04-07,15:37:24,-07:00,2026-04-07T15:37:24-07:00,1,12
style.css,47,css,a166c07c,Philip Chen,2026-04-07,15:37:24,-07:00,2026-04-07T15:37:24-07:00,0,0
style.css,48,css,a166c07c,Philip Chen,2026-04-07,15:37:24,-07:00,2026-04-07T15:37:24-07:00,0,0
style.css,49,css,a166c07c,Philip Chen,2026-04-07,15:37:24,-07:00,2026-04-07T15:37:24-07:00,0,4
style.css,50,css,a166c07c,Philip Chen,2026-04-07,15:37:24,-07:00,2026-04-07T15:37:24-07:00,1,12
style.css,51,css,a166c07c,Philip Chen,2026-04-07,15:37:24,-07:00,2026-04-07T15:37:24-07:00,1,30
style.css,52,css,a166c07c,Philip Chen,2026-04-07,15:37:24,-07:00,2026-04-07T15:37:24-07:00,1,7
style.css,53,css,a166c07c,Philip Chen,2026-04-07,15:37:24,-07:00,2026-04-07T15:37:24-07:00,0,0
style.css,54,css,a166c07c,Philip Chen,2026-04-07,15:37:24,-07:00,2026-04-07T15:37:24-07:00,0,0
style.css,55,css,a166c07c,Philip Chen,2026-04-07,15:37:24,-07:00,2026-04-07T15:37:24-07:00,0,5
style.css,56,css,a166c07c,Philip Chen,2026-04-07,15:37:24,-07:00,2026-04-07T15:37:24-07:00,1,12
style.css,57,css,a166c07c,Philip Chen,2026-04-07,15:37:24,-07:00,2026-04-07T15:37:24-07:00,1,29
style.css,58,css,a166c07c,Philip Chen,2026-04-07,15:37:24,-07:00,2026-04-07T15:37:24-07:00,1,18
style.css,59,css,a166c07c,Philip Chen,2026-04-07,15:37:24,-07:00,2026-04-07T15:37:24-07:00,1,18
style.css,60,css,a166c07c,Philip Chen,2026-04-07,15:37:24,-07:00,2026-04-07T15:37:24-07:00,0,0
style.css,61,css,a166c07c,Philip Chen,2026-04-07,15:37:24,-07:00,2026-04-07T15:37:24-07:00,0,0
style.css,62,css,a166c07c,Philip Chen,2026-04-07,15:37:24,-07:00,2026-04-07T15:37:24-07:00,0,4
style.css,63,css,a166c07c,Philip Chen,2026-04-07,15:37:24,-07:00,2026-04-07T15:37:24-07:00,0,8
style.css,64,css,a166c07c,Philip Chen,2026-04-07,15:37:24,-07:00,2026-04-07T15:37:24-07:00,1,21
style.css,65,css,a166c07c,Philip Chen,2026-04-07,15:37:24,-07:00,2026-04-07T15:37:24-07:00,1,10
style.css,66,css,a166c07c,Philip Chen,2026-04-07,15:37:24,-07:00,2026-04-07T15:37:24-07:00,0,0
style.css,67,css,a166c07c,Philip Chen,2026-04-07,15:37:24,-07:00,2026-04-07T15:37:24-07:00,0,0
style.css,68,css,a166c07c,Philip Chen,2026-04-07,15:37:24,-07:00,2026-04-07T15:37:24-07:00,0,6
style.css,69,css,a166c07c,Philip Chen,2026-04-07,15:37:24,-07:00,2026-04-07T15:37:24-07:00,1,18
style.css,70,css,a166c07c,Philip Chen,2026-04-07,15:37:24,-07:00,2026-04-07T15:37:24-07:00,0,0
style.css,71,css,a166c07c,Philip Chen,2026-04-07,15:37:24,-07:00,2026-04-07T15:37:24-07:00,0,0
style.css,72,css,a166c07c,Philip Chen,2026-04-07,15:37:24,-07:00,2026-04-07T15:37:24-07:00,0,9
style.css,73,css,a166c07c,Philip Chen,2026-04-07,15:37:24,-07:00,2026-04-07T15:37:24-07:00,1,12
style.css,74,css,a166c07c,Philip Chen,2026-04-07,15:37:24,-07:00,2026-04-07T15:37:24-07:00,1,58
style.css,75,css,a166c07c,Philip Chen,2026-04-07,15:37:24,-07:00,2026-04-07T15:37:24-07:00,1,7
style.css,76,css,a166c07c,Philip Chen,2026-04-07,15:37:24,-07:00,2026-04-07T15:37:24-07:00,0,0
style.css,77,css,a166c07c,Philip Chen,2026-04-07,15:37:24,-07:00,2026-04-07T15:37:24-07:00,0,0
style.css,78,css,a166c07c,Philip Chen,2026-04-07,15:37:24,-07:00,2026-04-07T15:37:24-07:00,0,17
style.css,79,css,92f32ef3,Philip Chen,2026-04-23,00:22:00,-07:00,2026-04-23T00:22:00-07:00,1,15
style.css,80,css,a166c07c,Philip Chen,2026-04-07,15:37:24,-07:00,2026-04-07T15:37:24-07:00,1,12
style.css,81,css,a166c07c,Philip Chen,2026-04-07,15:37:24,-07:00,2026-04-07T15:37:24-07:00,1,26
style.css,82,css,a166c07c,Philip Chen,2026-04-07,15:37:24,-07:00,2026-04-07T15:37:24-07:00,0,0
style.css,83,css,a166c07c,Philip Chen,2026-04-07,15:37:24,-07:00,2026-04-07T15:37:24-07:00,0,0
style.css,84,css,a166c07c,Philip Chen,2026-04-07,15:37:24,-07:00,2026-04-07T15:37:24-07:00,0,20
style.css,85,css,a166c07c,Philip Chen,2026-04-07,15:37:24,-07:00,2026-04-07T15:37:24-07:00,1,8
style.css,86,css,a166c07c,Philip Chen,2026-04-07,15:37:24,-07:00,2026-04-07T15:37:24-07:00,0,0
style.css,87,css,a166c07c,Philip Chen,2026-04-07,15:37:24,-07:00,2026-04-07T15:37:24-07:00,0,0
style.css,88,css,ea1ee9b1,Philip Chen,2026-04-29,09:48:25,-07:00,2026-04-29T09:48:25-07:00,0,30
style.css,89,css,ea1ee9b1,Philip Chen,2026-04-29,09:48:25,-07:00,2026-04-29T09:48:25-07:00,1,20
style.css,90,css,ea1ee9b1,Philip Chen,2026-04-29,09:48:25,-07:00,2026-04-29T09:48:25-07:00,1,49
style.css,91,css,ea1ee9b1,Philip Chen,2026-04-29,09:48:25,-07:00,2026-04-29T09:48:25-07:00,1,39
style.css,92,css,ea1ee9b1,Philip Chen,2026-04-29,09:48:25,-07:00,2026-04-29T09:48:25-07:00,1,34
style.css,93,css,ea1ee9b1,Philip Chen,2026-04-29,09:48:25,-07:00,2026-04-29T09:48:25-07:00,0,0
style.css,94,css,ea1ee9b1,Philip Chen,2026-04-29,09:48:25,-07:00,2026-04-29T09:48:25-07:00,0,0
style.css,95,css,ea1ee9b1,Philip Chen,2026-04-29,09:48:25,-07:00,2026-04-29T09:48:25-07:00,0,16
style.css,96,css,ea1ee9b1,Philip Chen,2026-04-29,09:48:25,-07:00,2026-04-29T09:48:25-07:00,1,12
style.css,97,css,ea1ee9b1,Philip Chen,2026-04-29,09:48:25,-07:00,2026-04-29T09:48:25-07:00,1,14
style.css,98,css,ea1ee9b1,Philip Chen,2026-04-29,09:48:25,-07:00,2026-04-29T09:48:25-07:00,1,18
style.css,99,css,ea1ee9b1,Philip Chen,2026-04-29,09:48:25,-07:00,2026-04-29T09:48:25-07:00,1,7
style.css,100,css,ea1ee9b1,Philip Chen,2026-04-29,09:48:25,-07:00,2026-04-29T09:48:25-07:00,1,16
style.css,101,css,ea1ee9b1,Philip Chen,2026-04-29,09:48:25,-07:00,2026-04-29T09:48:25-07:00,0,0
style.css,102,css,ea1ee9b1,Philip Chen,2026-04-29,09:48:25,-07:00,2026-04-29T09:48:25-07:00,0,0
style.css,103,css,ea1ee9b1,Philip Chen,2026-04-29,09:48:25,-07:00,2026-04-29T09:48:25-07:00,0,18
style.css,104,css,ea1ee9b1,Philip Chen,2026-04-29,09:48:25,-07:00,2026-04-29T09:48:25-07:00,1,21
style.css,105,css,ea1ee9b1,Philip Chen,2026-04-29,09:48:25,-07:00,2026-04-29T09:48:25-07:00,1,14
style.css,106,css,ea1ee9b1,Philip Chen,2026-04-29,09:48:25,-07:00,2026-04-29T09:48:25-07:00,1,16
style.css,107,css,ea1ee9b1,Philip Chen,2026-04-29,09:48:25,-07:00,2026-04-29T09:48:25-07:00,0,0
style.css,108,css,ea1ee9b1,Philip Chen,2026-04-29,09:48:25,-07:00,2026-04-29T09:48:25-07:00,0,0
style.css,109,css,ea1ee9b1,Philip Chen,2026-04-29,09:48:25,-07:00,2026-04-29T09:48:25-07:00,0,23
style.css,110,css,ea1ee9b1,Philip Chen,2026-04-29,09:48:25,-07:00,2026-04-29T09:48:25-07:00,1,14
style.css,111,css,ea1ee9b1,Philip Chen,2026-04-29,09:48:25,-07:00,2026-04-29T09:48:25-07:00,1,16
style.css,112,css,ea1ee9b1,Philip Chen,2026-04-29,09:48:25,-07:00,2026-04-29T09:48:25-07:00,0,0
style.css,113,css,ea1ee9b1,Philip Chen,2026-04-29,09:48:25,-07:00,2026-04-29T09:48:25-07:00,0,0
style.css,114,css,ea1ee9b1,Philip Chen,2026-04-29,09:48:25,-07:00,2026-04-29T09:48:25-07:00,0,51
style.css,115,css,ea1ee9b1,Philip Chen,2026-04-29,09:48:25,-07:00,2026-04-29T09:48:25-07:00,1,11
style.css,116,css,ea1ee9b1,Philip Chen,2026-04-29,09:48:25,-07:00,2026-04-29T09:48:25-07:00,0,0
style.css,117,css,ea1ee9b1,Philip Chen,2026-04-29,09:48:25,-07:00,2026-04-29T09:48:25-07:00,0,0
style.css,118,css,ea1ee9b1,Philip Chen,2026-04-29,09:48:25,-07:00,2026-04-29T09:48:25-07:00,0,7
style.css,119,css,ea1ee9b1,Philip Chen,2026-04-29,09:48:25,-07:00,2026-04-29T09:48:25-07:00,1,6
style.css,120,css,ea1ee9b1,Philip Chen,2026-04-29,09:48:25,-07:00,2026-04-29T09:48:25-07:00,1,25
style.css,121,css,ea1ee9b1,Philip Chen,2026-04-29,09:48:25,-07:00,2026-04-29T09:48:25-07:00,1,12
style.css,122,css,ea1ee9b1,Philip Chen,2026-04-29,09:48:25,-07:00,2026-04-29T09:48:25-07:00,1,57
style.css,123,css,ea1ee9b1,Philip Chen,2026-04-29,09:48:25,-07:00,2026-04-29T09:48:25-07:00,1,7
style.css,124,css,ea1ee9b1,Philip Chen,2026-04-29,09:48:25,-07:00,2026-04-29T09:48:25-07:00,1,8
style.css,125,css,ea1ee9b1,Philip Chen,2026-04-29,09:48:25,-07:00,2026-04-29T09:48:25-07:00,1,11
style.css,126,css,ea1ee9b1,Philip Chen,2026-04-29,09:48:25,-07:00,2026-04-29T09:48:25-07:00,1,60
style.css,127,css,ea1ee9b1,Philip Chen,2026-04-29,09:48:25,-07:00,2026-04-29T09:48:25-07:00,1,19
style.css,128,css,ea1ee9b1,Philip Chen,2026-04-29,09:48:25,-07:00,2026-04-29T09:48:25-07:00,1,15
style.css,129,css,ea1ee9b1,Philip Chen,2026-04-29,09:48:25,-07:00,2026-04-29T09:48:25-07:00,0,0
style.css,130,css,ea1ee9b1,Philip Chen,2026-04-29,09:48:25,-07:00,2026-04-29T09:48:25-07:00,0,0
style.css,131,css,ea1ee9b1,Philip Chen,2026-04-29,09:48:25,-07:00,2026-04-29T09:48:25-07:00,0,12
style.css,132,css,ea1ee9b1,Philip Chen,2026-04-29,09:48:25,-07:00,2026-04-29T09:48:25-07:00,1,12
style.css,133,css,ea1ee9b1,Philip Chen,2026-04-29,09:48:25,-07:00,2026-04-29T09:48:25-07:00,1,18
style.css,134,css,ea1ee9b1,Philip Chen,2026-04-29,09:48:25,-07:00,2026-04-29T09:48:25-07:00,1,9
style.css,135,css,ea1ee9b1,Philip Chen,2026-04-29,09:48:25,-07:00,2026-04-29T09:48:25-07:00,1,14
style.css,136,css,ea1ee9b1,Philip Chen,2026-04-29,09:48:25,-07:00,2026-04-29T09:48:25-07:00,0,0
style.css,137,css,ea1ee9b1,Philip Chen,2026-04-29,09:48:25,-07:00,2026-04-29T09:48:25-07:00,0,0
style.css,138,css,ea1ee9b1,Philip Chen,2026-04-29,09:48:25,-07:00,2026-04-29T09:48:25-07:00,0,7
style.css,139,css,ea1ee9b1,Philip Chen,2026-04-29,09:48:25,-07:00,2026-04-29T09:48:25-07:00,1,20
style.css,140,css,ea1ee9b1,Philip Chen,2026-04-29,09:48:25,-07:00,2026-04-29T09:48:25-07:00,1,9
style.css,141,css,ea1ee9b1,Philip Chen,2026-04-29,09:48:25,-07:00,2026-04-29T09:48:25-07:00,1,14
style.css,142,css,ea1ee9b1,Philip Chen,2026-04-29,09:48:25,-07:00,2026-04-29T09:48:25-07:00,1,17
style.css,143,css,ea1ee9b1,Philip Chen,2026-04-29,09:48:25,-07:00,2026-04-29T09:48:25-07:00,1,23
style.css,144,css,ea1ee9b1,Philip Chen,2026-04-29,09:48:25,-07:00,2026-04-29T09:48:25-07:00,0,0
style.css,145,css,ea1ee9b1,Philip Chen,2026-04-29,09:48:25,-07:00,2026-04-29T09:48:25-07:00,0,0
style.css,146,css,ea1ee9b1,Philip Chen,2026-04-29,09:48:25,-07:00,2026-04-29T09:48:25-07:00,0,9
style.css,147,css,ea1ee9b1,Philip Chen,2026-04-29,09:48:25,-07:00,2026-04-29T09:48:25-07:00,1,35
style.css,148,css,ea1ee9b1,Philip Chen,2026-04-29,09:48:25,-07:00,2026-04-29T09:48:25-07:00,0,0
style.css,149,css,ea1ee9b1,Philip Chen,2026-04-29,09:48:25,-07:00,2026-04-29T09:48:25-07:00,0,0
style.css,150,css,ea1ee9b1,Philip Chen,2026-04-29,09:48:25,-07:00,2026-04-29T09:48:25-07:00,0,18
style.css,151,css,ea1ee9b1,Philip Chen,2026-04-29,09:48:25,-07:00,2026-04-29T09:48:25-07:00,1,17
style.css,152,css,ea1ee9b1,Philip Chen,2026-04-29,09:48:25,-07:00,2026-04-29T09:48:25-07:00,0,0
style.css,153,css,ea1ee9b1,Philip Chen,2026-04-29,09:48:25,-07:00,2026-04-29T09:48:25-07:00,0,0
style.css,154,css,ea1ee9b1,Philip Chen,2026-04-29,09:48:25,-07:00,2026-04-29T09:48:25-07:00,0,21
style.css,155,css,ea1ee9b1,Philip Chen,2026-04-29,09:48:25,-07:00,2026-04-29T09:48:25-07:00,1,15
style.css,156,css,ea1ee9b1,Philip Chen,2026-04-29,09:48:25,-07:00,2026-04-29T09:48:25-07:00,0,0
style.css,157,css,ea1ee9b1,Philip Chen,2026-04-29,09:48:25,-07:00,2026-04-29T09:48:25-07:00,0,0
style.css,158,css,ea1ee9b1,Philip Chen,2026-04-29,09:48:25,-07:00,2026-04-29T09:48:25-07:00,0,10
